10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
4.6645,5.151,72.3827,46.6518,885.075,577.209
6.4988,4.9297,83.2634,48.5546,799.095,532.791
6.0389,4.7359,50.4414,44.4657,755.615,534.042
5.6718,4.7047,73.9098,44.3151,898.709,522.072
6.5479,4.6668,81.8037,45.5304,847.447,511.428
5.9205,5.0589,60.465,44.9521,783.569,570.98
7.9155,4.7875,85.31,44.3792,548.573,521.664
6.4415,4.7358,60.0266,43.5881,704.652,473.316
6.1638,4.7779,76.7645,42.58,705.441,463.933
7.1073,4.7605,67.6911,42.4427,640.227,455.752
